ORIGINE	DESTINATION	Distance
1100118417	1100118418	721,54938
1100118417	1100119111	2313,85034
1100118417	1100118402	1221,54724
1100115601	1100115611	508,11469
1100115601	1100115613	870,89722
1100115601	1100115402	1215,30798
1100115601	1100115612	896,03833
1100115601	1100115602	987,53449
1100115601	1100119121	903,34381
1100118415	1100118417	1239,27808
1100118415	1100118404	1162,30261
1100118415	1100118413	707,61871
1100118415	1100118402	1169,61865
1100118415	1100118416	848,42615
1100118415	1100118414	1168,30798
1100115629	1100115625	1384,38464
1100115629	1100115621	1262,25403
1100115629	1100115630	1041,28198
1100115629	1100115633	1049,18372
1100115629	1100115626	1401,56116
1100115629	1100115624	2245,53272
1100115620	1100115619	401,19244
1100115620	1100115625	373,04718
1100115620	1100115633	1087,94141
1100115620	1100115615	763,22833
1100115401	1100115301	1343,16235
1100115401	1100115402	649,79956
1100115401	1100119109	723,99677
1100115401	1100119121	1358,323
1100115611	1100115601	508,11469
1100115611	1100115612	501,77466
1100115611	1100115610	497,99027
1100118413	1100118404	893,92914
1100118413	1100118407	823,9364
1100118413	1100118415	707,61871
1100118413	1100118414	1283,27637
1100118413	1100118406	655,7124
1100115610	1100115615	533,77332
1100115610	1100115602	819,9823
1100115610	1100115612	697,78351
1100115610	1100115611	497,99027
1100115610	1100115609	560,43756
1100115610	1100115619	1018,40106
1100115301	1100115401	1343,16235
1100115301	1100115403	1170,25635
1100115301	1100115302	533,54517
1100115301	1100115402	1577,39075
1100115301	1100115304	1479,07776
1100115301	1100119111	803,44775
1100115301	1100115307	993,74872
1100115625	1100115629	1384,38464
1100115625	1100115620	373,04718
1100115625	1100115621	440,23569
1100115625	1100115633	1191,06433
1100115625	1100115628	836,94037
1100115625	1100115615	838,55158
1100115615	1100115610	533,77332
1100115615	1100115628	620,8902
1100115615	1100115620	763,22833
1100115615	1100115609	505,16669
1100115615	1100115619	818,44232
1100115615	1100115625	838,55158
1100118418	1100115303	1033,18738
1100118418	1100119111	2305,86377
1100118418	1100118416	1074,47424
1100118418	1100118412	717,73309
1100118418	1100118417	721,54938
1100115621	1100115628	829,03821
1100115621	1100115629	1262,25403
1100115621	1100115625	440,23569
1100115621	1100115626	599,64014
1100115621	1100115608	1173,78272
1100115621	1100115614	1260,84753
1100115402	1100115403	681,42731
1100115402	1100115401	649,79956
1100115402	1100115601	1215,30798
1100115402	1100115301	1577,39075
1100115402	1100115405	1167,1781
1100115402	1100119121	1615,67065
1100115402	1100115406	1237,68005
1100116413	1100116416	701,46057
1100116413	1100116418	1254,26282
1100116413	1100116409	1617,22717
1100116413	1100116414	814,51502
1100116413	2547310005	1551,62012
1100116413	1100116412	1380,68787
1100115403	1100115402	681,42731
1100115403	1100115301	1170,25635
1100115403	1100115307	701,21503
1100115403	1100115306	1213,4148
1100115403	1100115404	1310,73962
1100115602	1100115609	569,32294
1100115602	1100115610	819,9823
1100115602	1100115406	530,51636
1100115602	1100115601	987,53449
1100115602	1100115603	929,09259
1100115609	1100115602	569,32294
1100115609	1100115608	759,21527
1100115609	1100115610	560,43756
1100115609	1100115615	505,16669
1100115609	1100115603	885,59467
1100115609	1100115628	697,24219
1100115302	1100115304	1099,10779
1100115302	1100115303	398,39951
1100115302	1100115301	533,54517
1100115302	1100119111	1298,08081
1100115303	1100118418	1033,18738
1100115303	1100115302	398,39951
1100115303	1100119111	1659,58374
1100115303	1100115304	997,74616
1100115303	1100118412	786,23157
1100118416	1100118414	558,21094
1100118416	1100118418	1074,47424
1100118416	1100118410	940,38367
1100118416	1100118411	810,80664
1100118416	1100118415	848,42615
1100116416	1100116413	701,46057
1100116416	1100116412	1112,61072
1100116416	1100116419	964,96948
1100116416	2547310005	1051,18164
1100115307	1100115308	711,56879
1100115307	1100115306	837,0835
1100115307	1100115403	701,21503
1100115307	1100115301	993,74872
1100115628	1100115621	829,03821
1100115628	1100115615	620,8902
1100115628	1100115608	429,01703
1100115628	1100115625	836,94037
1100115628	1100115609	697,24219
1100115406	1100115405	501,77591
1100115406	1100115501	793,08063
1100115406	1100115602	530,51636
1100115406	1100115402	1237,68005
1100115626	1100115614	936,12647
1100115626	1100115607	1000,82135
1100115626	1100115621	599,64014
1100115626	1100115629	1401,56116
1100115626	1100115624	3317,74561
1100118414	1100118416	558,21094
1100118414	1100118413	1283,27637
1100118414	1100118408	960,46063
1100118414	1100118415	1168,30798
1100118414	1100118409	918,22876
1100118414	1100118407	1009,92688
1100118414	1100118410	664,48846
1100118412	1100118411	807,36322
1100118412	1100118418	717,73309
1100118412	1100118315	703,67383
1100118412	1100115303	786,23157
1100115608	1100115603	542,97394
1100115608	1100115609	759,21527
1100115608	1100115604	801,1499
1100115608	1100115628	429,01703
1100115608	1100115621	1173,78272
1100115608	1100115614	787,56262
1100115405	1100115406	501,77591
1100115405	1100115404	492,74811
1100115405	1100115502	1452,10974
1100115405	1100115402	1167,1781
1100116403	1100116402	941,1969
1100116403	1100116405	997,53345
1100116403	1100116404	1005,63397
1100116403	1100115624	1968,81067
1100115603	1100115608	542,97394
1100115603	1100115510	634,61688
1100115603	1100115609	885,59467
1100115603	1100115501	597,17059
1100115603	1100115604	622,43787
1100115603	1100115602	929,09259
1100118408	1100118409	923,73309
1100118408	1100118414	960,46063
1100118408	1100118407	646,88977
1100118411	1100118412	807,36322
1100118411	1100118416	810,80664
1100118411	1100118301	699,75256
1100118411	1100118410	630,00861
1100116401	1100116409	694,74982
1100116401	1100116402	885,1474
1100116401	1100116414	1270,79981
1100116401	1100115624	1525,25757
1100115614	1100115626	936,12647
1100115614	1100115606	1150,04236
1100115614	1100115607	929,78198
1100115614	1100115604	710,52942
1100115614	1100115605	723,22565
1100115614	1100115621	1260,84753
1100115614	1100115608	787,56262
1100115308	1100115307	711,56879
